Zone,Circle_Name,Division_Name,SubStation_Name,Feeder_Name,newMeterNumber,3/1/2026,3/2/2026,3/3/2026,3/4/2026,3/5/2026,3/6/2026,3/7/2026,3/8/2026,3/9/2026,3/10/2026,3/11/2026,3/12/2026,3/13/2026,3/14/2026,3/15/2026,3/16/2026,3/17/2026,3/18/2026,3/19/2026,3/20/2026,3/21/2026,3/22/2026,3/23/2026,3/24/2026,3/25/2026,3/26/2026,3/27/2026,3/28/2026,3/29/2026,3/30/2026,3/31/2026,4/1/2026,4/2/2026,4/3/2026,4/4/2026,4/5/2026,4/6/2026,4/7/2026,4/8/2026,4/9/2026,4/10/2026,4/11/2026,4/12/2026,4/13/2026,4/14/2026,Avg_Duration_Per_Day
PRAYAGRAJ,EUDC II PRAYAGRAJ,EUDD BAMRAULI,33/11 KV BAMRAULI,11 KV GANGA PRADUSHAN,HP8500282,24,24,24,23.5,24,24,24,24,24,24,24,24,24,24,24,24,22,24,23,23.5,24,24,22,24,24,24,24,23,24,24,24,24,22,24,23.5,24,24,24,23,24,24,22,24,24,24,23.72222222
PRAYAGRAJ,EUDC II PRAYAGRAJ,EUDD MEOHALL,33/11 KV MAYO HALL SUBSTATION,MUESEUM,HP8500325,24,null,23.5,23.5,24,24,23.5,24,24,24,24,24,24,24,24,24,24,24,24,24,23.5,23.5,24,24,24,24,24,24,24,24,24,24,23,23.5,23.5,24,24,24,24,23.5,24,24,24,24,24,23.88636364
PRAYAGRAJ,EUDC II PRAYAGRAJ,EUDD MEOHALL,33/11 KV BAILEY ROAD,11 KV O/G BELI GAON,HP8500380,23.5,24,23.5,23.5,24,24,24,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,23.5,24,24,24,24,24,24,24,24,24,23.5,24,24,24,24,23.5,24,24,24,24,24,24,24,23.91111111
MIRZAPUR,EDC BHADOHI,EDD I BHADOHI,33/11 KV CARPET CITY,CARPET CITY(TOWN),HP8500781,24,23,23.5,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,22,24,23.5,24,24,24,23.5,24,24,24,24,24,24,23.9
PRAYAGRAJ,EDC FATEHPUR,"EDD BINDAKI,FATEHPUR",DEOMAI,JSR,HP8500793,24,24,24,23.5,24,24,23.5,24,24,24,24,24,24,24,24,23.5,24,24,24,24,20,24,24,23,24,24,24,24,24,24,24,24,19,14.5,24,20.5,12.5,24,23,24,24,17.5,24,24,24,23.03333333
AZAMGARH,EDC-MAU,"EDD KOPAGANJ,MAU",33/11 KV Ratanpura,Karaut,HP9000053,21.5,20.5,17.5,23.5,23.5,19.5,19,20,19.5,22,16.5,20,20,22.5,21.5,21.5,19,20,19.5,20.5,20,24,23,21,20,16.5,16.5,17,17.5,17.5,18,18,16,14,null,14,12,15,16,19,14.5,12.5,14,14.5,14.5,18.46590909
VARANASI,EDC GHAZIPUR,EDD SAIDPUR,33/11 KV RAMPUR,PATANA,HP9000220,19.5,16.5,16.5,18.5,24,18,18.5,19.5,18,13,19,20,16,17.5,16.5,20,18.5,18,18,18,16,16,19,13.5,18.5,15.5,18.5,14,11.5,18,17,14,17,16.5,null,16.5,10.5,18,15,null,17.5,15.5,16,16.5,17,17
VARANASI,EDC GHAZIPUR,EDD SAIDPUR,33/11 KV BAHARIABAD,LARPUR,HP9000247,18,18.5,19.5,19,24,19,18.5,18.5,18.5,18.5,null,20.5,18,16.5,19.5,18.5,19.5,18.5,19,19.5,20,20,21,20,18.5,18.5,18.5,18,16,19.5,19,18,18,17,17,16,13,16.5,17.5,17,17.5,16,15.5,16,17,18.23863636
AZAMGARH,EDC II AZAMGARH,"EDD KAPTANGANJ,AZAMGARH",33/11 KV BURHANPUR TAHSHIL,BANSGAON,HP9000401,23.5,20,19.5,21,24,20,19,22,19,23.5,23,23,20.5,21,21,19.5,19.5,19,20,19,19.5,24,22,19,20,19.5,19.5,18.5,19,20.5,19,19,20,19,15.5,16.5,15.5,22,21,20,21.5,16.5,17,17,14,19.82222222
AZAMGARH,EDC-MAU,"EDD KOPAGANJ,MAU",33/11 KV SARIYA MOHAMMADABAD GOHNA,Pradhanpur(Saraya),HP9000405,23,22.5,23,23.5,24,21.5,22.5,24,22.5,23.5,24,24,20.5,21.5,23,23,22.5,22.5,22,21.5,21.5,23.5,22.5,22.5,23,20.5,22.5,23,22.5,21.5,22,22.5,22.5,18,18,null,20,22.5,18,22.5,22.5,16,23,19.5,24,22.01136364
VARANASI,EDC I JAUNPUR,"EDD BUXA,JAUNPUR",33/11 KV KABIRUDDINPUR,DHARAMPUR,HP9000632,20,20.5,17,20.5,23.5,19.5,19,20.5,19,20.5,20.5,19.5,19.5,20.5,21,20.5,20,20,19.5,19,19,18,22.5,19,16.5,19.5,19,20.5,19.5,19.5,18,19.5,15.5,18,null,null,13,19,17,18.5,18.5,18,16,15.5,15,18.94186047
AZAMGARH,EDC I AZAMGARH,"EDD LALGANJ,AZAMGARH",33/11 KV BARDAH,BARDAH PTW,HP9000871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0,0
VARANASI,EDC-CHANDAULI,"EDD SAKALDIHA,CHANDAULI",33/11 KV PACHKHARI,PACHKHARI S/S,HP9001021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0
PRAYAGRAJ,EDC KAUSHAMBI,EDD KAUSHAMBI,33/11 KV MANJHANPUR,TOWN-M,SC10292799,10.5,13,10.5,10.5,17,10.5,9.5,10.5,9.5,11.5,10.5,11,8,11.5,10,9,10.5,10,10,10,9.5,9,5.5,9.5,9.5,10,8,8.5,10.5,9.5,9,8.5,8.5,1.5,8.5,10,10.5,9,8,8,9,9.5,8,10.5,10,9.588888889
VARANASI,EUDC I VARANASI,"EUDD MADHAULI, VARANASI",33/11 KV RANIPUR,MOHANI KUNJ,SC10293101,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VARANASI,EUDC I VARANASI,"EUDD MADHAULI, VARANASI",33/11 KV BHIKHARIPUR,VESU-II,SC10293102,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23.5,24,23.5,21.5,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23.5,24,24,24,24,24,23,24,24,24,23.88888889
VARANASI,EDC VARANASI,"EDD BARAIPUR, VARANASI",33/11 KV TODARPUR,DEEPAPUR PTW,SC10349788,10.5,11,11,10.5,10,10.5,10.5,null,6.5,6.5,null,11.5,10.5,10.5,11,10.5,10.5,11,11,10.5,0.5,10,10.5,10.5,10,10.5,10.5,9.5,4,2,7,10.5,10,10.5,7.5,0,0,6.5,10.5,10.5,10,11.5,11.5,10,10.5,9.034883721
PRAYAGRAJ,EDC KAUSHAMBI,EDD CHAYAL,33/11 KV MAHGOAN,BADANPUR,HP8500407,19.5,19.5,17.5,18.5,24,19,18.5,19,18.5,19,19,18.5,17.5,18,16,17.5,19.5,19,19.5,18.5,18.5,24,18.5,19.5,18,19,19,18.5,19,18.5,18,18.5,14.5,18,17,16.5,16.5,16,18,15.5,13,18,16.5,17.5,16.5,18.18888889
MIRZAPUR,EDC SONBHADRA,EDD ROBERTSGANJ,33/11 KV Pasahi,BAHUARA,HP8500609,18.5,21.5,18.5,20,24,19,19,19.5,19,22,20,20,18.5,20,null,21.5,20,19,19,19,15.5,15.5,15.5,20.5,11,19.5,19,16,18,17,16,17,17.5,15.5,13,14.5,16.5,18,18.5,18.5,16,17,13.5,12.5,14,17.80681818
MIRZAPUR,EDC-MIRZAPUR,EDD CHUNAR,33/11 KV DHAUHA,RAILWAY,HP8500749,24,24,23.5,24,24,24,24,24,24,24,24,24,24,24,null,24,24,24,24,24,22,24,22.5,20.5,24,24,24,23.5,22,24,24,22.5,24,24,22,24,23,24,23.5,24,24,24,24,24,24,23.65909091
MIRZAPUR,EDC-MIRZAPUR,"EDD KACHCHAWA,MIRZAPUR",33/11 KV DEEP NAGAR,RAMCHANDRPUR,HP8500760,21,17,18.5,20,22.5,18,18.5,19,14,18.5,22,18,21,20,20,21,19,19,20,18.5,15,16,19.5,20,14,18.5,18.5,15.5,18,19.5,17,20,15.5,19.5,15,18.5,13,21.5,15.5,18,17,16,14,18,14,18.05555556
PRAYAGRAJ,EDC I PRAYAGRAJ,EDD MEZA,33/11 KV LALTARA,SALAIYA,HP8500906,22,13.5,17.5,20.5,23.5,20.5,20.5,21,20.5,22.5,22,21.5,23,20.5,20.5,20,16.5,20.5,20,19,17,16,19,18.5,20.5,19.5,19.5,17.5,20.5,21,21,19.5,16,20,19,19,18,21.5,19.5,18,20,19,17.5,19.5,19.5,19.58888889
VARANASI,EUDC II VARANASI,"EUDD RAJGHAT, VARANASI",33/11 KV ALAILPUR,Makkemahal,HP9000201,24,24,24,24,24,23.5,24,23,24,24,24,24,24,24,23,24,22.5,24,24,24,24,23.5,24,24,24,24,24,24,24,24,24,24,23,24,null,23.5,24,23.5,21.5,24,24,24,24,24,24,23.79545455
VARANASI,EUDC II VARANASI,"EUDD SARNATH, VARANASI",33/11 KV DAULATPUR,PREMACHANDRA,HP9000205,24,24,24,24,24,23.5,24,24,24,24,23.5,24,24,22.5,24,23.5,24,24,23.5,24,23.5,24,24,24,24,23.5,24,24,24,24,24,24,24,24,null,23.5,24,24,24,24,24,24,24,24,24,23.88636364
VARANASI,EDC I JAUNPUR,"EDD KERAKAT,JAUNPUR",33/11 KV KERAKAT TEHSIL,TEHSIL,HP9000544,22.5,22,22.5,23.5,24,22,22,24,22,24,24,23.5,24,22.5,23,22.5,22,18.5,22,22,21.5,19.5,22.5,22.5,22.5,21.5,22,21.5,21,23,22.5,23,22.5,22,null,null,18,23,22.5,21,23,23,22.5,22.5,22,22.26744186
